"Woonplaats";"WoonplaatsCode";"Gemeente";"GemeenteCode";"Provincie";"ProvincieCode";"Landsdeel";"LandsdeelCode"
"Steenwijk";"WP2713";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Steenwijkerwold";"WP2714";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Stegeren";"WP2553";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Steggerda";"WP1741";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stein";"WP1913";"Stein";"GM0971";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Stellendam";"WP2933";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Sterksel";"WP1316";"Heeze-Leende";"GM1658";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Stevensbeek";"WP2084";"SintAnthonis";"GM1702";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Stevensweert";"WP1922";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Steyl";"WP1475";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Stieltjeskanaal";"WP2163";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Stiens";"WP3230";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stitswerd";"WP3482";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Stokkum";"WP2210";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Stolwijk";"WP2388";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Stompetoren";"WP1890";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Stoutenburg";"WP2639";"Leusden";"GM0327";"Utrecht";"PV26";"West-Nederland";"LD03"
"Stoutenburg Noord";"WP1667";"Amersfoort";"GM0307";"Utrecht";"PV26";"West-Nederland";"LD03"
"Stramproy";"WP1975";"Weert";"GM0988";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Streefkerk";"WP1805";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Striep";"WP2620";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Strijbeek";"WP3435";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Strijen";"WP2797";"HoekscheWaard";"GM1963";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Strijensas";"WP2798";"HoekscheWaard";"GM1963";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Stroe";"WP1059";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Stroobos";"WP3180";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stuifzand";"WP3023";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Stuifzand";"WP1819";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Sumar";"WP2453";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Surhuisterveen";"WP3181";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Surhuizum";"WP3182";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Susteren";"WP2045";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Suwâld";"WP2448";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Swalmen";"WP2283";"Roermond";"GM0957";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Sweikhuizen";"WP2104";"Beekdaelen";"GM1954";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Swichum";"WP1204";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Swifterbant";"WP2431";"Dronten";"GM0303";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Swolgen";"WP1859";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Taarlo";"WP2918";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Teeffelen";"WP3472";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Teerns";"WP1203";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tegelen";"WP1474";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Terband";"WP2182";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terborg";"WP1577";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Terheijden";"WP2578";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Terherne";"WP2537";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terhole";"WP3096";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Terkaple";"WP2510";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Termunten";"WP3242";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Termunterzijl";"WP3243";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Ternaard";"WP3411";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terneuzen";"WP1137";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Teroele";"WP2511";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terschuur";"WP3598";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tersoal";"WP2538";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terwispel";"WP3355";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terwolde";"WP2609";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Teteringen";"WP3623";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Teuge";"WP2610";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Thesinge";"WP1832";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tholen";"WP2071";"Tholen";"GM0716";"Zeeland";"PV29";"West-Nederland";"LD03"
"Thorn";"WP1916";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Tiel";"WP3601";"Tiel";"GM0281";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tiendeveen";"WP1820";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tiendeveen";"WP3024";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tienhoven";"WP2065";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Tienhoven aan de Lek";"WP2107";"Vijfheerenlanden";"GM1961";"Utrecht";"PV26";"West-Nederland";"LD03"
"Tienray";"WP1860";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Tijnje";"WP3356";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Tike";"WP3276";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tilburg";"WP1043";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Tilligte";"WP1416";"Dinkelland";"GM1774";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tinallinge";"WP2473";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tinte";"WP1211";"Westvoorne";"GM0614";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Tirns";"WP3591";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjalhuizum";"WP2422";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjalleberd";"WP2184";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjerkgaast";"WP2512";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjerkwerd";"WP2324";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjuchem";"WP1360";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tolbert";"WP2345";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Toldijk";"WP1531";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tolkamer";"WP2981";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tollebeek";"WP1279";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Tonden";"WP1110";"Brummen";"GM0213";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Toornwerd";"WP3454";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tricht";"WP3531";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Triemen";"WP3314";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tripscompagnie";"WP2276";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tubbergen";"WP1294";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tuil";"WP3366";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tuitjenhorn";"WP3292";"Schagen";"GM0441";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Tuk";"WP2715";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tull en 't Waal";"WP2055";"Houten";"GM0321";"Utrecht";"PV26";"West-Nederland";"LD03"
"Twello";"WP2611";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Twijzel";"WP3183";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Twijzelerheide";"WP3184";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Twisk";"WP3157";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Tynaarlo";"WP2919";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tytsjerk";"WP2447";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tzum";"WP1362";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tzummarum";"WP1377";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ubbena";"WP2395";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ubbergen";"WP2879";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uddel";"WP3562";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uden";"WP1847";"Uden";"GM0856";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Udenhout";"WP1045";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Uffelte";"WP3121";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ugchelen";"WP2256";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uitdam";"WP1947";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uitgeest";"WP2755";"Uitgeest";"GM0450";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uithoorn";"WP2062";"Uithoorn";"GM0451";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uithuizen";"WP3483";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Uithuizermeeden";"WP3484";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Uitwellingerga";"WP2423";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Uitwijk";"WP3304";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulestraten";"WP1465";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ulft";"WP1580";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ulicoten";"WP2884";"Baarle-Nassau";"GM0744";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulrum";"WP3425";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Ulvenhout";"WP1704";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulvenhout AC";"WP3436";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ureterp";"WP3357";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Urk";"WP2143";"Urk";"GM0184";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Urmond";"WP1915";"Stein";"GM0971";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ursem";"WP1891";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Ursem";"WP1191";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Usquert";"WP3485";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Utrecht";"WP3295";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vaals";"WP1429";"Vaals";"GM0981";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vaassen";"WP1345";"Epe";"GM0232";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Valburg";"WP1872";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Valkenburg";"WP1709";"Katwijk";"GM0537";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Valkenburg";"WP1718";"ValkenburgaandeGeul";"GM0994";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Valkenswaard";"WP1100";"Valkenswaard";"GM0858";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Valthe";"WP1800";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Valthermond";"WP1801";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"2e Valthermond";"WP1781";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Varik";"WP3367";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Varsselder";"WP1582";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Varsseveld";"WP1574";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vasse";"WP1295";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Veelerveen";"WP2234";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Veen";"WP1956";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Veendam";"WP1240";"Veendam";"GM0047";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Veenendaal";"WP2048";"Veenendaal";"GM0345";"Utrecht";"PV26";"West-Nederland";"LD03"
"De Veenhoop";"WP3277";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veenhuizen";"WP1651";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veeningen";"WP3171";"DeWolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veenklooster";"WP3315";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veenoord";"WP1999";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veere";"WP2783";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Veessen";"WP2866";"Heerde";"GM0246";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vegelinsoord";"WP2513";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veghel";"WP2827";"Meierijstad";"GM1948";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'t Veld";"WP2520";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velddriel";"WP1631";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Den Velde";"WP1547";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Velden";"WP3142";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Veldhoven";"WP1384";"Veldhoven";"GM0861";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Velp";"WP3198";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Velp";"WP1500";"Rheden";"GM0275";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Velsen-Noord";"WP3538";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velsen-Zuid";"WP3536";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velserbroek";"WP2839";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Venebrugge";"WP1565";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Venhorst";"WP3139";"Boekel";"GM0755";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Venhuizen";"WP1512";"Drechterland";"GM0498";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Venlo";"WP1473";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Venray";"WP2335";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ven-Zelderheide";"WP2481";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vessem";"WP2996";"Eersel";"GM0770";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vethuizen";"WP2211";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Veulen";"WP2336";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vianen";"WP2843";"Vijfheerenlanden";"GM1961";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vianen NB";"WP1455";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vierakker";"WP1532";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vierhouten";"WP2985";"Nunspeet";"GM0302";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vierhuizen";"WP3426";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vierlingsbeek";"WP1223";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vierpolders";"WP2369";"Brielle";"GM0501";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vijfhuizen";"WP1613";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Vijlen";"WP1431";"Vaals";"GM0981";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vilsteren";"WP2554";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vinkega";"WP1743";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vinkel";"WP3063";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vinkel";"WP3612";"'s-Hertogenbosch";"GM0796";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vinkenbuurt";"WP2555";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vinkeveen";"WP3550";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Visvliet";"WP2127";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vlaardingen";"WP1015";"Vlaardingen";"GM0622";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vlagtwedde";"WP2298";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vledder";"WP3122";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vledderveen";"WP3123";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vledderveen";"WP3078";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vleuten";"WP3296";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vlieland";"WP3299";"Vlieland";"GM0096";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vlierden";"WP1775";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vlijmen";"WP3503";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vlissingen";"WP1078";"Vlissingen";"GM0718";"Zeeland";"PV29";"West-Nederland";"LD03"
"Vlist";"WP2389";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vlodrop";"WP2595";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Voerendaal";"WP1855";"Voerendaal";"GM0986";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vogelenzang";"WP2651";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Vogelwaarde";"WP3095";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Volendam";"WP1748";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Volkel";"WP1848";"Uden";"GM0856";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vollenhove";"WP2716";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vondelingenplaat Rotterdam";"WP3087";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorburg";"WP1622";"Leidschendam-Voorburg";"GM1916";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorhout";"WP2004";"Teylingen";"GM1525";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorschoten";"WP3231";"Voorschoten";"GM0626";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorst";"WP1586";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Voorst";"WP2612";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Voorthuizen";"WP3599";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vorchten";"WP2867";"Heerde";"GM0246";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vorden";"WP3573";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vorstenbosch";"WP3064";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vortum-Mullem";"WP1224";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vragender";"WP2226";"OostGelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vredenheim";"WP1181";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vredepeel";"WP2337";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vreeland";"WP3525";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vries";"WP2912";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vriescheloo";"WP2235";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vriezenveen";"WP3325";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vroomshoop";"WP3326";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vrouwenakker";"WP2672";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vrouwenparochie";"WP3334";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vrouwenpolder";"WP2784";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Vught";"WP1619";"Vught";"GM0865";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vuren";"WP2357";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Waaksens";"WP2031";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Waal";"WP1809";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"De Waal";"WP2739";"Texel";"GM0448";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Waalre";"WP1006";"Waalre";"GM0866";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Waalwijk";"WP2597";"Waalwijk";"GM0867";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'t Waar";"WP1895";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Waarde";"WP3466";"Reimerswaal";"GM0703";"Zeeland";"PV29";"West-Nederland";"LD03"
"Waardenburg";"WP3368";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Waarder";"WP2478";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Waardhuizen";"WP3305";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Waarland";"WP3293";"Schagen";"GM0441";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Waaxens";"WP3412";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Wachtum";"WP2165";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Waddinxveen";"WP3051";"Waddinxveen";"GM0627";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Wadenoijen";"WP2559";"Tiel";"GM0281";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Wagenberg";"WP2579";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
